"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3"
"Pos",42346,"[M+NH4]+",22.758,"TG 14:0_16:0_16:0","TG",27682373,24096744,19581883,8254916,8059204,7724706,7028751,10331145,11028683,9671464,7181684,7635820,5809452,8475508,7474379,6850233,5350147,5415511
"Pos",42149,"[M+NH4]+",22.063,"TG 14:0_16:0_16:1","TG",13572712,12065307,9788777,4395792,4180757,3402541,3425761,4720877,5000380,3285729,2350582,2488247,2088682,2790605,2426764,2369758,2110893,1946424
"Pos",44841,"[M+NH4]+",22.783,"TG 14:0_16:0_18:1","TG",106790508,93755273,74151168,26205624,21748112,19072417,20497127,31553069,33686683,19766697,13679793,15298555,10231539,16355555,13953040,13558406,8938314,10143291
"Pos",46963,"[M+NH4]+",21.89,"TG 14:0_16:0_20:4","TG",422017,336137,295045,43851,51056,101112,53773,30643,45841,80966,66750,29385,41625,57423,44100,29756,46264,47074
"Pos",49500,"[M+NH4]+",21.882,"TG 14:0_16:0_22:5","TG",1143309,872916,814169,137981,92308,179130,58214,107409,119550,6584,13818,9333,3610,8511,13871,11688,4774,4411
"Pos",49325,"[M+NH4]+",21.532,"TG 14:0_16:0_22:6","TG",341561,277501,226365,52076,41008,12784,16789,16099,23565,0,0,0,0,0,0,0,0,0
"Pos",41964,"[M+NH4]+",21.25,"TG 14:0_16:1_16:1 (a)","TG",1361436,1268463,950024,244023,93755,205980,200171,444597,281034,52687,85077,128753,151940,214543,93263,169203,75089,33178
"Pos",41968,"[M+NH4]+",21.332,"TG 14:0_16:1_16:1 (b)","TG",1361436,1268463,950024,155324,488675,185043,144864,444597,144888,91122,85077,134652,151940,214543,166749,169203,136834,136329
"Pos",44659,"[M+NH4]+",22.099,"TG 14:0_16:1_18:1","TG",23431106,19520775,16456192,6167186,4016729,4547704,4930898,6985960,7554308,3974470,3177143,2281385,1382909,2268476,1727140,1789784,1066498,1128623
"Pos",44441,"[M+NH4]+",21.304,"TG 14:0_16:1_18:2","TG",1107597,366147,722927,136412,90413,43426,76859,180314,170624,80357,29804,33606,24020,11168,44145,25350,12742,14280
"Pos",43737,"[M+NH4]+",23.071,"TG 15:0_16:0_16:0","TG",8765724,7931009,6296444,3280274,3321304,3006273,2850184,4136547,3817038,3785383,2917076,2981046,2685465,3156047,3085944,2838702,2384017,2395290
"Pos",43551,"[M+NH4]+",22.437,"TG 15:0_16:0_16:1","TG",4458579,4193897,3659899,2339482,2174589,2007873,1842017,2311324,2478656,1949314,1670340,1741905,1025236,1827292,1668641,1670302,1525962,1770501
"Pos",46253,"[M+NH4]+",23.102,"TG 15:0_16:0_18:1","TG",24740011,22420281,17437994,6485094,5671962,5172061,5123889,7577897,8036127,5092210,3560003,4077495,2914727,4099966,3693617,3603913,2773557,2975593
"Pos",50754,"[M+NH4]+",22.289,"TG 15:0_16:0_22:5","TG",362025,237922,89885,21230,3689,4056,8950,19946,6732,25014,26200,56501,31572,23557,31525,14314,5603,12423
"Pos",45052,"[M+NH4]+",23.393,"TG 16:0_16:0_16:0","TG",112958149,101073922,81512242,33169386,32621763,31002450,26739580,42453266,43381697,39001667,26202656,29672531,21080782,33633598,29325925,25858920,18225555,20454792
"Pos",46438,"[M+NH4]+",23.675,"TG 16:0_16:0_17:0","TG",9932431,8918119,7295105,3300356,3310349,3244669,2902745,4180533,4229688,3844000,2838548,3134686,2615035,3468396,3214848,2792591,2226130,2448605
"Pos",47764,"[M+NH4]+",23.959,"TG 16:0_16:0_18:0","TG",65937980,56991214,47540590,19834850,19029001,18233638,16387989,24704420,25745162,22262101,15082297,17413430,12688357,20262009,17495721,14971508,10958315,12173782
"Pos",47560,"[M+NH4]+",23.412,"TG 16:0_16:0_18:1","TG",348845108,315958932,254577283,86775830,70053088,63550272,65171432,101582326,114190299,63097292,41460375,48215292,29366362,51139650,42565237,40744404,25589720,29288016
"Pos",49681,"[M+NH4]+",22.64,"TG 16:0_16:0_20:4","TG",2054021,1651807,1277733,626293,333920,418313,212659,236100,261624,74692,66489,78270,57148,80394,65243,77475,35238,39866
"Pos",49501,"[M+NH4]+",22.066,"TG 16:0_16:0_20:5","TG",551628,563046,423569,70594,96096,36696,37545,47427,51604,8315,0,0,8105,0,0,0,0,4471
"Pos",51817,"[M+NH4]+",22.321,"TG 16:0_16:0_22:6","TG",2632172,2267158,1810969,671332,533073,549661,298717,396031,462897,10568,7357,47252,10280,28334,10259,27541,33655,6735
"Pos",54082,"[M+NH4]+",25.044,"TG 16:0_16:0_23:0","TG",705368,701018,609608,531774,544476,478722,520278,575851,557773,513978,482488,488764,503758,554727,445830,501482,495682,272760
"Pos",55236,"[M+NH4]+",25.21,"TG 16:0_16:0_24:0","TG",3046921,2729634,2367229,1375234,1338757,1258207,1105256,1599971,1591144,1415986,1146371,1256425,1038697,1330783,1193893,1138330,963969,989977
"Pos",56279,"[M+NH4]+",25.353,"TG 16:0_16:0_25:0","TG",770164,711019,672700,539924,611901,514026,476360,611680,619448,525224,502798,508876,462438,477742,492354,485104,463249,572595
"Pos",62620,"[M+NH4]+",25.954,"TG 16:0_16:0_32:1","TG",479899,405507,343836,152189,91248,95568,113443,159303,189941,115209,47385,79838,45063,98675,56139,61496,67350,65111
"Pos",44658,"[M+NH4]+",22.288,"TG 16:0_16:1_16:1","TG",735347,703534,618846,398501,1150063,389315,365261,438608,400714,359471,309570,1160729,888092,1080462,773809,1163027,970128,872051
"Pos",46067,"[M+NH4]+",22.471,"TG 16:0_16:1_17:1","TG",5422694,4781942,3871526,1774692,910848,1346578,1338834,1676794,1882761,815886,503816,679813,573841,530240,544095,370855,399336,414927
"Pos",47352,"[M+NH4]+",22.817,"TG 16:0_16:1_18:1","TG",148653896,126797774,100720198,32677378,23442776,20984851,25929848,39391874,43562743,19770802,12890668,14996785,9131687,14514848,12559783,12933932,7913320,9110173
"Pos",46962,"[M+NH4]+",21.519,"TG 16:0_16:1_18:3","TG",810570,609079,689447,110332,95358,59779,144974,123524,146754,55993,34672,27654,25845,30628,26633,28014,18350,22473
"Pos",51818,"[M+NH4]+",21.9,"TG 16:0_16:1_22:5","TG",1692049,1369885,751155,338470,275103,165899,157312,207021,258577,25819,115913,51062,30206,50161,20148,33729,83747,57236
"Pos",51635,"[M+NH4]+",21.569,"TG 16:0_16:1_22:6","TG",1083845,891849,768989,220673,155221,90593,30415,43874,95095,0,0,0,0,0,0,0,0,0
