"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Pos","[M+NH4]+",22.321,896.77032,"TG 16:0_16:0_22:6","TG",51817
"Pos","[M+NH4]+",22.333,1000.83252,"TG 18:1_22:4_22:5","TG",59889
"Pos","[M+NH4]+",22.345,922.78595,"TG 16:0_18:1_22:6","TG",54064
"Pos","[M+NH4]+",22.369,948.80157,"TG 18:1_18:1_22:6","TG",56097
"Pos","[M+NH4]+",22.395,782.72357,"TG 14:0_15:0_16:0","TG",40894
"Pos","[M+NH4]+",22.437,808.73926,"TG 15:0_16:0_16:1","TG",43551
"Pos","[M+NH4]+",22.471,834.75482,"TG 16:0_16:1_17:1","TG",46067
"Pos","[M+NH4]+",22.512,860.77032,"TG 16:1_17:1_18:1","TG",48519
"Pos","[M+NH4]+",22.617,898.78607,"TG 16:0_18:1_20:4","TG",51982
"Pos","[M+NH4]+",22.624,924.80164,"TG 16:0_18:1_22:5","TG",54226
"Pos","[M+NH4]+",22.64,872.77032,"TG 16:0_16:0_20:4","TG",49681
"Pos","[M+NH4]+",22.641,886.78577,"TG 17:1_18:1_18:2","TG",50920
"Pos","[M+NH4]+",22.645,950.81714,"TG 18:1_18:1_22:5","TG",56272
"Pos","[M+NH4]+",22.758,796.7392,"TG 14:0_16:0_16:0","TG",42346
"Pos","[M+NH4]+",22.765,976.8327,"TG 18:1_20:2_22:5","TG",58210
"Pos","[M+NH4]+",22.783,822.75513,"TG 14:0_16:0_18:1","TG",44841
"Pos","[M+NH4]+",22.817,848.77039,"TG 16:0_16:1_18:1","TG",47352
"Pos","[M+NH4]+",22.855,874.78589,"TG 16:0_18:1_18:2","TG",49851
"Pos","[M+NH4]+",22.882,1002.84827,"TG 18:1_22:4_22:4","TG",60015
"Pos","[M+NH4]+",22.945,900.80164,"TG 18:1_18:1_18:2","TG",52149
"Pos","[M+NH4]+",22.95,938.81702,"TG 17:1_18:1_22:4","TG",55396
"Pos","[M+NH4]+",22.952,912.80157,"TG 16:0_17:0_22:5","TG",53234
"Pos","[M+NH4]+",22.967,964.83289,"TG 18:1_19:1_22:5","TG",57323
"Pos","[M+NH4]+",23.008,924.80121,"TG 16:0_18:0_22:6","TG",54224
"Pos","[M+NH4]+",23.024,950.81708,"TG 18:0_18:1_22:6","TG",56270
"Pos","[M+NH4]+",23.028,976.83301,"TG 18:1_20:1_22:6","TG",58211
"Pos","[M+NH4]+",23.071,810.75494,"TG 15:0_16:0_16:0","TG",43737
"Pos","[M+NH4]+",23.081,926.8172,"TG 16:0_18:1_22:4","TG",54389
"Pos","[M+NH4]+",23.102,836.77032,"TG 15:0_16:0_18:1","TG",46253
"Pos","[M+NH4]+",23.119,862.78601,"TG 16:0_17:1_18:1","TG",48712
"Pos","[M+NH4]+",23.144,888.80151,"TG 17:1_18:1_18:1","TG",51072
"Pos","[M+NH4]+",23.23,926.8172,"TG 16:0_18:0_22:5","TG",54388
"Pos","[M+NH4]+",23.234,952.83282,"TG 18:0_18:1_22:5","TG",56424
"Pos","[M+NH4]+",23.235,914.81653,"TG 18:1_18:1_19:2","TG",53405
"Pos","[M+NH4]+",23.236,978.84851,"TG 18:1_20:1_22:5","TG",58351
"Pos","[M+NH4]+",23.339,914.81702,"TG 16:0_18:1_21:3","TG",53406
"Pos","[M+NH4]+",23.393,824.77051,"TG 16:0_16:0_16:0","TG",45052
"Pos","[M+NH4]+",23.412,850.78625,"TG 16:0_16:0_18:1","TG",47560
"Pos","[M+NH4]+",23.43,876.80176,"TG 16:0_18:1_18:1","TG",50031
"Pos","[M+NH4]+",23.454,902.81714,"TG 18:1_18:1_18:1","TG",52320
"Pos","[M+NH4]+",23.526,928.83276,"TG 18:1_18:1_20:2","TG",54550
"Pos","[M+NH4]+",23.675,838.78638,"TG 16:0_16:0_17:0","TG",46438
"Pos","[M+NH4]+",23.696,864.80182,"TG 16:0_17:0_18:1","TG",48918
"Pos","[M+NH4]+",23.699,954.84863,"TG 18:0_18:1_22:4","TG",56569
"Pos","[M+NH4]+",23.708,890.81744,"TG 16:0_18:1_19:1","TG",51252
"Pos","[M+NH4]+",23.723,916.83282,"TG 18:1_18:1_19:1","TG",53557
"Pos","[M+NH4]+",23.736,980.86426,"TG 18:1_20:1_22:4","TG",58483
"Pos","[M+NH4]+",23.779,1006.87994,"TG 18:1_22:1_22:5","TG",60273
"Pos","[M+NH4]+",23.824,942.84869,"TG 16:0_20:2_21:2","TG",55693
"Pos","[M+NH4]+",23.959,852.80188,"TG 16:0_16:0_18:0","TG",47764
"Pos","[M+NH4]+",23.971,878.81744,"TG 16:0_18:0_18:1","TG",50217
"Pos","[M+NH4]+",23.982,904.83295,"TG 16:0_18:1_20:1","TG",52472
"Pos","[M+NH4]+",23.988,930.84839,"TG 18:1_18:1_20:1","TG",54707
"Pos","[M+NH4]+",24.063,956.86407,"TG 18:1_20:1_20:2","TG",56719
"Pos","[M+NH4]+",24.144,982.87958,"TG 18:1_20:1_22:3","TG",58644
"Pos","[M+NH4]+",24.203,892.83276,"TG 16:0_18:0_19:1","TG",51454
"Pos","[M+NH4]+",24.209,1008.89557,"TG 18:1_22:1_22:4","TG",60400
"Pos","[M+NH4]+",24.213,918.84875,"TG 18:0_18:1_19:1","TG",53739
"Pos","[M+NH4]+",24.226,944.86438,"TG 18:1_19:1_20:1","TG",55844
"Pos","[M+NH4]+",24.442,880.83319,"TG 16:0_18:0_18:0","TG",50410
"Pos","[M+NH4]+",24.451,906.84875,"TG 16:0_18:0_20:1","TG",52670
"Pos","[M+NH4]+",24.454,932.86426,"TG 18:0_18:1_20:1","TG",54870
"Pos","[M+NH4]+",24.463,958.87994,"TG 18:1_20:1_20:1","TG",56858
"Pos","[M+NH4]+",24.493,984.89545,"TG 18:1_18:1_24:2","TG",58789
"Pos","[M+NH4]+",24.577,1010.91125,"TG 18:1_24:1_20:3","TG",60541
"Pos","[M+NH4]+",24.662,972.89557,"TG 17:1_18:1_24:1","TG",57923
"Pos","[M+NH4]+",24.854,908.8642,"TG 16:0_18:0_20:0","TG",52878
"Pos","[M+NH4]+",24.854,934.87982,"TG 16:0_18:0_22:1","TG",55038
"Pos","[M+NH4]+",24.855,960.89563,"TG 16:0_18:1_24:1","TG",57017
"Pos","[M+NH4]+",24.855,986.91107,"TG 18:1_18:1_24:1","TG",58938
"Pos","[M+NH4]+",24.871,1012.92651,"TG 18:1_18:1_26:2","TG",60683
"Pos","[M+NH4]+",25.026,1000.92688,"TG 18:1_18:1_25:1","TG",59897
"Pos","[M+NH4]+",25.031,974.91132,"TG 16:0_18:1_25:1","TG",58070
"Pos","[M+NH4]+",25.044,922.87964,"TG 16:0_16:0_23:0","TG",54082
"Pos","[M+NH4]+",25.191,1014.94232,"TG 18:1_18:1_26:1","TG",60800
"Pos","[M+NH4]+",25.199,988.92682,"TG 16:0_18:1_26:1","TG",59077
"Pos","[M+NH4]+",25.21,936.89551,"TG 16:0_16:0_24:0","TG",55236
"Pos","[M+NH4]+",25.213,962.91125,"TG 16:0_24:0_18:1","TG",57172
"Pos","[M+NH4]+",25.346,1002.94238,"TG 16:0_19:1_26:1","TG",60019
"Pos","[M+NH4]+",25.353,950.91101,"TG 16:0_16:0_25:0","TG",56279
"Pos","[M+NH4]+",25.36,976.92688,"TG 16:0_25:0_18:1","TG",58218
"Pos","[M+NH4]+",25.475,1042.974,"TG 18:1_20:1_26:1","TG",62440
"Pos","[M+NH4]+",25.484,1016.95813,"TG 16:0_20:1_26:1","TG",60911
"Pos","[M+NH4]+",25.498,964.92688,"TG 16:0_18:0_24:0","TG",57329
"Pos","[M+NH4]+",25.498,990.9425,"TG 16:0_26:0_18:1","TG",59220
