"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M-H]-",12.858,784.52069,"PS 18:1_18:2","PS",37649
"Neg","[M-H]-",13.143,834.5271,"PS 18:0_22:6","PS",40628
"Neg","[M-H]-",13.168,812.54437,"PS 18:0_20:3","PS",39371
"Neg","[M-H]-",13.259,774.52734,"PS 17:0_18:1","PS",37007
"Neg","[M-H]-",13.405,836.54413,"PS 18:0_22:5","PS",40762
"Neg","[M-H]-",13.409,760.5127,"PS 16:0_18:1","PS",36137
"Neg","[M-H]-",13.5,838.55933,"PS 18:0_22:4","PS",40892
"Neg","[M-H]-",13.858,810.52606,"PS 18:0_20:4","PS",39260
"Neg","[M-H]-",13.862,890.58374,"PS 20:1_24:5","PS",43774
"Neg","[M-H]-",13.878,788.54431,"PS 18:0_18:1","PS",37875
"Neg","[M-H]-",13.944,814.56067,"PS 18:1_20:1","PS",39471
"Neg","[M-H]-",14.214,840.57587,"PS 18:1_22:2","PS",41007
"Neg","[M-H]-",14.265,836.54089,"PS 18:0_22:5","PS",40760
"Neg","[M-H]-",14.46,788.54578,"PS 18:0_18:1","PS",37879
"Neg","[M-H]-",14.523,840.57458,"PS 18:0_22:3","PS",41004
"Neg","[M-H]-",14.865,788.54486,"PS 18:0_18:1","PS",37877
"Neg","[M-H]-",15.155,838.55719,"PS 18:0_22:4","PS",40889
"Neg","[M-H]-",15.229,816.57587,"PS 20:0_18:1","PS",39590
"Neg","[M-H]-",15.276,842.59192,"PS 18:1_22:1","PS",41122
"Neg","[M-H]-",15.454,868.60706,"PS 18:1_24:2","PS",42601
"Neg","[M-H]-",16.725,870.6225,"PS 18:1_24:1","PS",42717
"Neg","[M-H]-",16.753,844.60712,"PS 22:0_18:1","PS",41248
"Neg","[M-H]-",18.379,872.63794,"PS 24:0_18:1","PS",42842
"Neg","[M-H]-",10.729,734.47675,"PE 16:1_20:5","PE",34576
"Neg","[M-H]-",11.04,810.50745,"PE 20:4_22:6","PE",39256
"Neg","[M-H]-",11.118,760.49219,"PE 16:1_22:6","PE",36135
"Neg","[M-H]-",11.312,786.5072,"PE 18:2_22:6","PE",37757
"Neg","[M-H]-",11.4,812.52356,"PE 20:4_22:5","PE",39368
"Neg","[M-H]-",11.448,736.49225,"PE 16:1_20:4","PE",34697
"Neg","[M-H]-",11.457,762.50757,"PE 16:1_22:5","PE",36258
"Neg","[M-H]-",11.469,686.47626,"PE 16:1_16:1","PE",31603
"Neg","[M-H]-",11.628,774.50867,"PE 17:1_22:6","PE",37004
"Neg","[M-H]-",11.645,736.49176,"PE 16:0_20:5","PE",34695
"Neg","[M-H]-",11.67,712.492,"PE 16:1_18:2","PE",33210
"Neg","[M-H]-",11.741,762.50757,"PE 18:1_20:5","PE",36257
"Neg","[M-H]-",11.929,738.50763,"PE 18:1_18:3","PE",34825
"Neg","[M-H]-",12.061,736.49225,"PE 16:1_20:4","PE",34696
"Neg","[M-H]-",12.075,762.50769,"PE 16:0_22:6","PE",36259
"Neg","[M-H]-",12.163,788.52307,"PE 18:1_22:6","PE",37870
"Neg","[M-H]-",12.263,738.50818,"PE 16:0_20:4","PE",34827
"Neg","[M-H]-",12.46,738.50757,"PE 16:0_20:4","PE",34824
"Neg","[M-H]-",12.494,688.49182,"PE 16:0_16:1","PE",31699
"Neg","[M-H]-",12.536,790.53882,"PE 18:1_22:5","PE",38006
"Neg","[M-H]-",12.555,764.52313,"PE 18:1_20:4","PE",36401
